FISCAL YEAR,Month,FUND,ACCOUNT GROUP NAME,EXPENDITURE
2020,12,100,SALARIES AND BENEFITS,83823918.13
2019,12,100,SALARIES AND BENEFITS,78131257.04
2018,1,100,SALARIES AND BENEFITS,75491264.1
2015,3,100,SALARIES AND BENEFITS,71958003.41
2013,4,100,SALARIES AND BENEFITS,71080353.88
2014,4,100,SALARIES AND BENEFITS,70369481.41
2017,8,100,SALARIES AND BENEFITS,70339720.69
2015,9,100,SALARIES AND BENEFITS,70294312.7
2014,9,100,SALARIES AND BENEFITS,70146254.58
2013,10,100,SALARIES AND BENEFITS,69305047.37
2016,8,100,SALARIES AND BENEFITS,69242413.24
2012,4,100,SALARIES AND BENEFITS,68765861.48
2016,2,100,SALARIES AND BENEFITS,68473871.35
2012,10,100,SALARIES AND BENEFITS,68424389.21
2020,1,100,SALARIES AND BENEFITS,58230080.94
2020,2,100,SALARIES AND BENEFITS,56203356.04
2020,11,100,SALARIES AND BENEFITS,55970278.78
2020,10,100,SALARIES AND BENEFITS,55949451.77
2020,3,100,SALARIES AND BENEFITS,55828450.94
2020,4,100,SALARIES AND BENEFITS,55588047.97
2012,12,100,SALARIES AND BENEFITS,55253656.71
2019,1,100,SALARIES AND BENEFITS,54057293.79
2019,1,100,SALARIES AND BENEFITS,54057293.79
2019,2,100,SALARIES AND BENEFITS,53833702.25
2019,2,100,SALARIES AND BENEFITS,53833702.25
2019,3,100,SALARIES AND BENEFITS,53553340.27
2019,5,100,SALARIES AND BENEFITS,53324610.58
2019,4,100,SALARIES AND BENEFITS,53143356.21
2019,8,100,SALARIES AND BENEFITS,52203320.8
2019,9,100,SALARIES AND BENEFITS,51960851.34
2019,11,100,SALARIES AND BENEFITS,51922117.89
2019,11,100,SALARIES AND BENEFITS,51922117.89
2019,10,100,SALARIES AND BENEFITS,51876493.07
2018,4,100,SALARIES AND BENEFITS,51279440.84
2018,3,100,SALARIES AND BENEFITS,51227527.2
2018,2,100,SALARIES AND BENEFITS,51176766.12
2018,5,100,SALARIES AND BENEFITS,50828438.31
2015,1,100,SALARIES AND BENEFITS,49352067.18
2018,12,100,SALARIES AND BENEFITS,48703128.38
2018,11,100,SALARIES AND BENEFITS,48559591.31
2019,7,100,SALARIES AND BENEFITS,48436782.61
2018,9,100,SALARIES AND BENEFITS,48146920.72
2018,10,100,SALARIES AND BENEFITS,48002605.33
2015,2,100,SALARIES AND BENEFITS,47758625.68
2018,8,100,SALARIES AND BENEFITS,47733277.9
2015,10,100,SALARIES AND BENEFITS,47557231.39
2015,4,100,SALARIES AND BENEFITS,47302795.76
2014,12,100,SALARIES AND BENEFITS,47290959.78
2015,5,100,SALARIES AND BENEFITS,47276655.26
2013,2,100,SALARIES AND BENEFITS,47256589.7
2015,12,100,SALARIES AND BENEFITS,47223688.03
2013,3,100,SALARIES AND BENEFITS,47165145.11
2015,11,100,SALARIES AND BENEFITS,47154731.67
2016,1,100,SALARIES AND BENEFITS,46972930.24
2015,6,100,SALARIES AND BENEFITS,46791998.3
2014,1,100,SALARIES AND BENEFITS,46762613.24
2014,10,100,SALARIES AND BENEFITS,46754098.74
2014,11,100,SALARIES AND BENEFITS,46692708.73
2014,6,100,SALARIES AND BENEFITS,46660073.48
2013,5,100,SALARIES AND BENEFITS,46633855.64
2015,8,100,SALARIES AND BENEFITS,46624156.93
2014,5,100,SALARIES AND BENEFITS,46622847.16
2014,8,100,SALARIES AND BENEFITS,46605678.92
2013,1,100,SALARIES AND BENEFITS,46596439.2
2013,6,100,SALARIES AND BENEFITS,46514744.51
2014,2,100,SALARIES AND BENEFITS,46475872.56
2014,3,100,SALARIES AND BENEFITS,46475063.28
2013,8,100,SALARIES AND BENEFITS,46410222.17
2013,12,100,SALARIES AND BENEFITS,46304765.62
2013,11,100,SALARIES AND BENEFITS,46247987.9
2017,9,100,SALARIES AND BENEFITS,46191861.62
2017,4,100,SALARIES AND BENEFITS,46085195.75
2012,3,100,SALARIES AND BENEFITS,46040099.97
2017,5,100,SALARIES AND BENEFITS,46029843.27
2013,9,100,SALARIES AND BENEFITS,45995964.02
2012,5,100,SALARIES AND BENEFITS,45929411.3
