month_year,unempl_rate,household_income,month,laumt,equipment,expenses,not def,salaries_benefits,median_hhincome,equipment_expenses,police_classified_expenses,vehicle_expenses,transportation_expenses,training_expenses,office_expenses,tech_expenses,total_expenditures,unemployment_rate,householdincome,population,total_crime
2011-12,11.5,52584,12,696605,68754,3166515,1841257,89863839,52239,777045.87,477393.53,316012.87,986593.93,2493.95,412057.99,465391.1,682045743.4,11.5,52584,9905970,16246
2012-01,11.9,52641.5,1,712088,27689.38,3869464.53,2653623.36,89365326.78,52929,777045.87,477393.53,316012.87,986593.93,2493.95,412057.99,465391.1,103424140,11.9,52641.5,9910880,17010
2012-02,11.6,52699,2,697964,107109,2762364.72,1916591.92,90073702.37,52929,432970.93,477393.53,316012.87,986593.93,6236.58,222237.23,66705.36,96190631.18,11.6,52699,9915790,15278
2012-03,11.2,52756.5,3,676631,17116.37,2867717.35,953555.93,90152489.3,52929,424806.7,477393.53,20291.67,986593.93,20730.55,390175.5,44325.45,94697140.41,11.2,52756.5,9920690,16678
2012-04,10.5,52814,4,635190,95930,2223266.02,2320768.86,133693831.6,52929,286486.53,592685.6,59378.08,1800,13324.29,280853.86,439,136994159.6,10.5,52814,9925600,16261
2012-05,10.7,52871.5,5,646190,95930,3963086.74,2296561.56,89353686.46,52929,367403.88,290752.8,393399.16,986593.93,7538.38,446617.03,60962.95,91641110.06,10.7,52871.5,9930510,17391
2012-06,11.1,52929,6,674656,219463.43,5072773.89,33275583.34,88847224.71,52929,435102.26,9616.01,132837,46354,3270.06,834784.89,157394.18,107492011.2,11.1,52929,9935420,16812
2012-07,11.8,53055.17,7,715305,34386,3753580.31,840523.45,98829746.58,52929,710007.34,324,316012.87,986593.93,13585.08,1077171.1,44654.4,95888395.86,11.8,53055.17,9940130,17082
2012-08,11.2,53181.33,8,677570,33942,6502088.47,1397614.08,88358920.43,52929,565424.49,73190.39,316012.87,9965.34,28103.9,1959081.62,302774.2,94691429.12,11.2,53181.33,9944890,17696
2012-09,10.4,53307.5,9,629677,35236,4846589.4,1123032.57,88960673.01,52929,518291.2,222,8070.21,986593.93,13360.87,578468.38,200204.12,-32360158.19,10.4,53307.5,9949650,16777
2012-10,10.4,53433.67,10,629845,33982,3243645.65,951722.42,132830631.4,52929,324555.64,477393.53,30715.24,986593.93,44377.61,162961.95,216260.98,138167907.7,10.4,53433.67,9954410,17476
2012-11,10.1,53559.83,11,609950,32609,2303857.99,1531308.31,87956852.54,52929,468619.21,477393.53,7325.76,986593.93,53773.82,252424.16,2990.24,95574535.8,10.1,53559.83,9959170,15693
2012-12,10.1,53686,12,611774,39119,3409456.62,515284.41,103708646,52929,389684.63,37853,316012.87,986593.93,7829.97,498656.24,71931,124073470.1,10.1,53686,9963930,15951
2013-01,10.9,53812.17,1,653851,30218,3293491.22,1836382.23,91220473.49,54443,277447.96,11334.3,186287.46,986593.93,296,349666.36,937572,105072389.6,10.9,53812.17,9968690,16232
2013-02,10.2,53938.33,2,615308,28492.95,4033888.02,2257733.64,93284968.07,54443,418038.28,164845.9,91756.09,986593.93,12533.73,262252.63,28792.95,97633136.58,10.2,53938.33,9973450,14187
2013-03,9.8,54064.5,3,587724,58648.33,2606728.53,1088923.66,93252470.78,54443,600123.23,195767.32,2056.44,55589.75,8708.78,299726.91,112343.08,96729924.76,9.8,54064.5,9978210,16262
2013-04,9.4,54190.67,4,562218,3515.48,3663941.52,2561790.19,140561170.9,54443,463039.46,8391.73,116.76,5026.04,6623.39,266287.53,499373,140494207.4,9.4,54190.67,9982970,15747
2013-05,9.6,54316.83,5,572228,33596.34,3481685.91,4291647.84,92487545.31,54443,411651.69,5049.47,3693.75,33972.34,27214.03,406336.72,7158.9,93101604.82,9.6,54316.83,9987730,16668
2013-06,10.2,54443,6,614554,4893.91,4082855.42,8908420.63,91986215.49,54443,477821.96,12852.8,7225.68,4555.54,12439.95,314782.09,126604.91,94799377.46,10.2,54443,9992480,15999
2013-07,10.5,54546.58,7,639174,8245.97,3695980.65,1726044.28,99696574.96,54443,418589.5,477393.53,269019.2,986593.93,3317.12,870870.42,45827.01,96243679.18,10.5,54546.58,9996450,16714
2013-08,10,54650.17,8,603602,50129.11,5488226.93,1651800.41,90565649.65,54443,428111.3,477393.53,765479.7,986593.93,1528.12,1537277.84,46193.75,99491041.88,10,54650.17,10000420,17329
2013-09,9.5,54753.75,9,576177,21089,5749732.99,966183.14,90079811.59,54443,271206.87,477393.53,79886,986593.93,11787.1,892110.51,151897.02,96963047.51,9.5,54753.75,10004380,16263
2013-10,9.4,54857.33,10,568384,26488,3880495.43,1759056.34,135019843.5,54443,290974.33,477393.53,395892.05,986593.93,529,406001.77,350741.92,146598772.4,9.4,54857.33,10008350,16371
2013-11,9,54960.92,11,542052,32568,2365602.77,586953.19,90243251.32,54443,311835.77,477393.53,14393,986593.93,1601.47,248530.81,94800.66,100150431.5,9,54960.92,10012310,15136
2013-12,8.6,55064.5,12,516370,26715,4447684.22,422718.62,89966626.48,54443,297232.73,477393.53,46588.1,986593.93,131.88,239279.93,25846.98,104731839,8.6,55064.5,10016280,15233
2014-01,9,55168.08,1,539933,215371.51,4203271,3781680.75,93633902.69,55686,389486.73,858,1488519,76735.1,3161.09,345048.84,254044.51,109085917.3,9,55168.08,10020240,15488
2014-02,8.8,55271.66,2,532634,16126.45,3190417.65,3136974.14,94560025.38,55686,262862.08,754487.48,450482.31,986593.93,3155.86,198496.03,14794.91,103819720.5,8.8,55271.66,10024210,13752
2014-03,8.6,55375.25,3,523281,209843.27,4962860.87,5602063.56,109393317.7,55686,399977.74,243764.51,1423957.74,192509,17198.38,1067728.31,119073.6,147602191.7,8.6,55375.25,10028170,15633
2014-04,7.8,55478.83,4,467469,303302.01,3462897.97,4281227.96,143480993.3,55686,377552.39,385133.58,1087809.79,283696.08,29968.96,397954.37,184758.8,101150887.8,7.8,55478.83,10032140,15564
2014-05,8.1,55582.41,5,483775,39376.8,3501371.46,1761930.12,95751038.27,55686,365841,1859.72,404301.72,500905.16,49384,394460.49,145295.32,99542812.01,8.1,55582.41,10036110,16603
